"ROI.name"	"Zone"	"Layer"	"ROI.id"	"point"	"x"	"y"
"RZ.L3"	"RZ"	"L3"	48	5	875.666948737589	-821.59112780641
"RZ.L3"	"RZ"	"L3"	49	1	941.53100905198	-865.23516616923
"RZ.L3"	"RZ"	"L3"	49	2	929.531441461539	-837.007639861623
"RZ.L3"	"RZ"	"L3"	49	3	941.660599809634	-803.349612159337
"RZ.L3"	"RZ"	"L3"	49	4	1004.75382271975	-772.289870493688
"RZ.L3"	"RZ"	"L3"	49	5	1009.20514933392	-831.667465531903
"RZ.L3"	"RZ"	"L3"	49	6	1030.55892319046	-864.77193688249
"RZ.L3"	"RZ"	"L3"	49	7	978.637671515845	-893.871799582947
"RZ.L3"	"RZ"	"L3"	50	1	1006.46286945402	-771.877593130487
"RZ.L3"	"RZ"	"L3"	50	2	1035.00612614427	-778.940263664959
"RZ.L3"	"RZ"	"L3"	50	3	1066.3433149802	-772.874392481584
"RZ.L3"	"RZ"	"L3"	50	4	1073.32584186966	-824.666346792081
"RZ.L3"	"RZ"	"L3"	50	5	1104.13974816254	-864.037957215557
"RZ.L3"	"RZ"	"L3"	50	6	1067.9553941008	-885.671211088782
"RZ.L3"	"RZ"	"L3"	50	7	1033.17185920695	-864.450075962887
"RZ.L3"	"RZ"	"L3"	50	8	1011.237177565	-831.102468801133
"RZ.L3"	"RZ"	"L3"	51	1	1068.33143176168	-772.140631093969
"RZ.L3"	"RZ"	"L3"	51	2	1151.81739527368	-778.844834639269
"RZ.L3"	"RZ"	"L3"	51	3	1184.13036239359	-834.042448180689
"RZ.L3"	"RZ"	"L3"	51	4	1162.42869842535	-864.811295044987
"RZ.L3"	"RZ"	"L3"	51	5	1105.81977800234	-863.079875767383
"RZ.L3"	"RZ"	"L3"	51	6	1075.21934509801	-823.47646578986
"RZ.L3"	"RZ"	"L3"	52	1	1152.86683154002	-777.05709031426
"RZ.L3"	"RZ"	"L3"	52	2	1163.21308103088	-739.259245303798
"RZ.L3"	"RZ"	"L3"	52	3	1194.64347254332	-714.526156956842
"RZ.L3"	"RZ"	"L3"	52	4	1227.28968137961	-721.312997699461
"RZ.L3"	"RZ"	"L3"	52	5	1262.80363939981	-758.689328378933
"RZ.L3"	"RZ"	"L3"	52	6	1288.07182612317	-817.637591844864
"RZ.L3"	"RZ"	"L3"	52	7	1252.63064024037	-844.462348028309
"RZ.L3"	"RZ"	"L3"	52	8	1185.91271162164	-833.231510790547
"PZ.L1"	"PZ"	"L1"	53	1	603.535374424782	-308.263306979772
"PZ.L1"	"PZ"	"L1"	53	2	605.276508939409	-287.922855744834
"PZ.L1"	"PZ"	"L1"	53	3	585.728126090242	-262.60503848338
"PZ.L1"	"PZ"	"L1"	53	4	601.666272790771	-244.936785146753
"PZ.L1"	"PZ"	"L1"	53	5	635.996730843043	-230.612779793054
"PZ.L1"	"PZ"	"L1"	53	6	657.820277245127	-253.683437771861
"PZ.L1"	"PZ"	"L1"	53	7	657.008205809164	-280.490351115518
"PZ.L1"	"PZ"	"L1"	54	1	513.701932599143	-365.207327113032
"PZ.L1"	"PZ"	"L1"	54	2	491.308351668424	-329.857792256229
"PZ.L1"	"PZ"	"L1"	54	3	534.572464664179	-281.347350811642
"PZ.L1"	"PZ"	"L1"	54	4	583.464964367441	-262.914059407928
"PZ.L1"	"PZ"	"L1"	54	5	603.336370276291	-288.233876974402
"PZ.L1"	"PZ"	"L1"	54	6	600.941188422221	-309.862419838034
"PZ.L1"	"PZ"	"L1"	54	7	550.379565185024	-337.007332328094
